"Branch Name";"Swift Code"
"ABC INTERNATIONAL BANK PARIS BRANCH – PARIS";"ABCOFRPPXXX"
"ACCENTURE INSURANCE SERVICES – MAISONS LAFFITTE";"ACIVFRPPXXX"
"AFFINE SA – PARIS";"AFFIFRPPXXX"
"AGF ASSET MANAGEMENT – PARIS";"AGFMFRPPXXX"
"AGF ASSET MANAGEMENT – PARIS";"AGFMFRPPPVS"
"AIRBUS SAS – BLAGNAC";"AIRBFR22XXX"
"AL KHALIJI FRANCE S.A. – PARIS";"LICOFRPPXXX"
"ALCATEL-LUCENT – PARIS";"ATELFRPPXXX"
"ALLIANZ BANQUE S.A. – PARIS";"AGFBFRCCXXX"
"ALSTOM HOLDINGS – LEVALLOIS PERRET";"ALHOFRPPXXX"
"ALSYON TECHNOLOGIES – LE VESINET";"ALSYFRPPXXX"
"AMUNDI ASSET MANAGEMENT – PARIS";"AGRIFRPIXXX"
"APTAR GROUP SAS – SAINT GERMAIN EN LAYE";"APTAFRPPXXX"
"ARCELOR TREASURY SNC – SAINT DENIS";"USINFRPPXXX"
"AREVA SA – PARIS";"AREVFRPPXXX"
"ART ET TECHNIQUES DU PROGRES – ORLEANS";"GRSRFR22XXX"
"ATTIJARIWAFA BANK – PARIS";"BCMAFRPPXXX"
"AXA BANQUE SA – FONTENAY SOUS BOIS";"AXABFRPPXXX"
"BANCA CARIGE SPA – NICE";"CRGEFR2XXXX"
"BANCA REGIONALE EUROPEA S.P.A. – NICE";"BREUFR22XXX"
"BANCO BILBAO VIZCAYA ARGENTARIA – PARIS";"BBVAFRPPXXX"
"BANCO BPI, PARIS – PARIS";"BBPIFRPPXXX"
"BANCO DE SABADELL – PARIS";"BSABFRPPXXX"
"BANCO DO BRASIL S.A. – PARIS";"BRASFRPPXXX"
"BANCO SANTANDER S.A. – PARIS";"BSCHFRPPXXX"
"BANK AUDI SARADAR FRANCE – PARIS";"AUDIFRPPXXX"
"BANK MELLI IRAN – PARIS";"MELIFRPPXXX"
"BANK OF AMERICA, N.A. PARIS – PARIS";"BOFAFRPPXXX"
"BANK OF CHINA, PARIS BRANCH – PARIS";"BKCHFRPPXXX"
"BANK OF CHINA, PARIS BRANCH – PARIS";"BKCHFRPP013"
"BANK OF INDIA – PARIS";"BKIDFRPPXXX"
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE – PARIS";"BOTKFRCCXXX"
"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE – PARIS";"BOTKFRPXXXX"
"BANK POLSKA KASA OPIEKI S.A., SUCCURSALE DE PARIS – PARIS";"PKOPFRPPXXX"
"BANK SADERAT IRAN – PARIS BRANCH – PARIS";"BSIRFRPPXXX"
"BANK SEPAH – PARIS";"SEPBFRPPXXX"
"BANK TEJARAT – PARIS";"BTEJFRPPXXX"
"BANQUE AIG, PARIS HEAD OFFICE – PARIS";"AIGAFRPPXXX"
"BANQUE BCP – PARIS";"BPSMFRPPXXX"
"BANQUE BIA – PARIS";"BIARFRPPXXX"
"BANQUE CHAABI DU MAROC – PARIS";"BCDMFRPPXXX"
"BANQUE CHAIX – AVIGNON";"CHAIFR2AXXX"
"BANQUE COURTOIS S.A. – TOULOUSE";"COURFR2TXXX"
"BANQUE DE BRETAGNE – RENNES";"BDEBFR2RXXX"
"BANQUE DE L’EUROPE MERIDIONALE SA – PARIS";"BEMOFRPPXXX"
"BANQUE DE REALISATIONS DE GESTION ET DE FINANCEMENT – CLICHY";"RGFIFRPPXXX"
"BANQUE DE SAVOIE S.A. – CHAMBERY";"BSAVFR2CXXX"
"BANQUE DELUBAC ET CIE – LE CHEYLARD";"DELUFR22XXX"
"BANQUE D’ESCOMPTE – PARIS";"ESCBFRPPXXX"
"BANQUE D’ESCOMPTE – PARIS";"ESCBFRPPBDF"
"BANQUE D’ORSAY – PARIS";"BQORFRCCXXX"
"BANQUE D’ORSAY – PARIS";"BQORFRPPXXX"
